Title,Author,Genre,Number of pages,Publisher,price
"Theory of Everything, The","Hawking, Stephen",science,217,Jaico,100
New Markets & Other Essays,"Drucker, Peter",economics,176,Penguin,50
Electric Universe,"Bodanis, David",science,201,Penguin,50
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,Random House,50
Burning Bright,"Steinbeck, John",fiction,175,Penguin,50
"Age of Discontuinity, The","Drucker, Peter",economics,178,Random House,50
Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin,50
Down and Out in Paris & London,"Orwell, George",nonfiction,179,Penguin,50
Identity & Violence,"Sen, Amartya",philosophy,219,Penguin,5
Beyond the Three Seas,"Dalrymple, William",history,197,Random House,5
"World's Greatest Short Stories, The",,fiction,217,Jaico,50
Talking Straight,"Iacoca, Lee",nonfiction,175,,50
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,171,Vintage,50
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,,50
Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage,50
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,Vintage,50
"Great War for Civilization, The","Fisk, Robert",history,197,HarperCollins,50
We the Living,"Rand, Ayn",fiction,178,Penguin,5
"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes,50
History of Western Philosophy,"Russell, Bertrand",philosophy,213,Routledge,50
Selected Short Stories,,fiction,215,Jaico,50
Rationality & Freedom,"Sen, Amartya",economics,213,Springer,50
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,228,Simon&Schuster,50
Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,Fontana,50
One,"Bach, Richard",nonfiction,172,Dell,0
Karl Marx Biography,,nonfiction,162,,5
To Sir With Love,Braithwaite,fiction,197,Penguin,5
Half A Life,"Naipaul, V S",fiction,196,,5005
"Discovery of India, The","Nehru, Jawaharlal",history,230,,50
Apulki,"Deshpande, P L",nonfiction,211,,50
Unpopular Essays,"Russell, Bertrand",philosophy,198,,50
"Deceiver, The","Forsyth, Frederick",fiction,178,,50
Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,,50
Char Shabda,"Deshpande, P L",nonfiction,214,,50
Rosy is My Relative,"Durrell, Gerald",fiction,176,,5
"Moon and Sixpence, The","Maugham, William S",fiction,180,,50
Political Philosophers,,philosophy,162,,50
"Short History of the World, A","Wells, H G",history,197,,50
"Trembling of a Leaf, The","Maugham, William S",fiction,205,,50
Doctor on the Brain,"Gordon, Richard",fiction,204,,50
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,,50
Pattern Classification,"Duda, Hart",data_science,241,,50
From Beirut to Jerusalem,"Friedman, Thomas",history,202,,50
"Code Book, The","Singh, Simon",science,197,,50
"Age of the Warrior, The","Fisk, Robert",history,197,,5
Final Crisis,,comic,257,,50
"Killing Joke, The",,comic,283,,
Flashpoint,,comic,265,,50
Batman Earth One,,comic,265,,50
Crisis on Infinite Earths,,comic,258,,505
"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,,0
Superman Earth One - 1,,comic,259,,505
Superman Earth One - 2,,comic,258,,5
Justice League: Throne of Atlantis,,comic,258,,5
Justice League: The Villain's Journey,,comic,258,,5
"Death of Superman, The",,comic,258,,5
History of the DC Universe,,comic,258,,5
Batman: The Long Halloween,,comic,258,,5
"Life in Letters, A","Steinbeck, John",nonfiction,196,,0
"Information, The","Gleick, James",science,233,,50
"Journal of Economics, vol 106 No 3",,economics,235,,505
Elements of Information Theory,"Thomas, Joy",data_science,229,,0
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,,5
Power Electronics - Mohan,"Mohan, Ned",computer_science,237,,50
Neural Networks,"Haykin, Simon",data_science,240,,50
"Grapes of Wrath, The","Steinbeck, John",fiction,196,,50
Vyakti ani Valli,"Deshpande, P L",nonfiction,211,,50
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,,50
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,,50
Empire of the Mughal - Brothers at War,"Rutherford, Alex",history,180,,50
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,,50
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,180,,50
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",history,180,,50
Mossad,"Baz-Zohar, Michael",history,236,,5
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,,50
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,,50
Batatyachi Chal,Deshpande P L,fiction,200,,50
Hafasavnuk,Deshpande P L,fiction,211,,50
Urlasurla,Deshpande P L,fiction,211,,5
Pointers in C,"Kanetkar, Yashwant",computer_science,213,,120
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,,120
Design with OpAmps,"Franco, Sergio",computer_science,240,,120
Think Complexity,"Downey, Allen",data_science,230,,120
"Devil's Advocate, The","West, Morris",fiction,178,,120
Ayn Rand Answers,"Rand, Ayn",philosophy,203,,100
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,,120
"World's Great Thinkers, The",,philosophy,189,,122
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,,120
Broca's Brain,"Sagan, Carl",science,174,,120
Men of Mathematics,"Bell, E T",mathematics,217,,12
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,,120
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy,224,,100
"Arthashastra, The",Kautiyla,philosophy,214,,100
We the People,Palkhivala,philosophy,216,,100
We the Nation,Palkhivala,philosophy,216,,100
"Courtroom Genius, The",Sorabjee,nonfiction,217,,100
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,,100
"History of England, Foundation","Ackroyd, Peter",history,197,,100
City of Djinns,"Dalrymple, William",history,198,,1000
India's Legal System,Nariman,nonfiction,177,,100
More Tears to Cry,"Sassoon, Jean",fiction,235,,100
"Ropemaker, The","Dickinson, Peter",fiction,196,,10
Angels & Demons,"Brown, Dan",fiction,170,,120
"Judge, The",,fiction,170,,160
"Attorney, The",,fiction,170,,150
"Prince, The",Machiavelli,philosophy,173,,15
Eyeless in Gaza,"Huxley, Aldous",fiction,180,,60
Tales of Beedle the Bard,"Rowling, J K",fiction,184,,60
